             ********************学生投档情况*********************
一本线：482 二本线：331 一本计划人数：128 二本计划人数：48
19000020 张菲惠 508 湖北大学
19000902 戴康新 507 长江大学
19000713 阎姬佑 505 长江大学
19000014 龙贞翠 503 长江大学
19000611 杜莺容 503 湖北理工学院
19000208 龚下君 503 长江大学
19000215 江凡 501 湖北理工学院
19000007 汪瑶玉 500 湖北理工学院
19000506 贾佳涵 500 湖北文理学院
19000130 陈纯珍 498 长江大学
19000128 丁琪苑 497 湖北理工学院
19000503 王贞薇 496 湖北理工学院
19000518 姚毅榕 495 湖北科技学院
19000718 常鸿惠 493 长江大学
19000411 江渝琳 490 长江大学
19000401 彭冰 489 长江大学
19000817 魏君芝 488 湖北科技学院
19000323 丁玉贞 487 长江大学
19000124 傅莉承 486 湖北理工学院
19000006 石影承 485 湖北文理学院
19000612 汤芝菲 484 湖北科技学院
19000009 毛寒筠 483 长江大学
19000618 万梅莺 483 荆楚理工学院
19000414 冯韵莎 482 湖北科技学院
19000322 顾昭彤 481 湖北科技学院
19000822 夏侯宸弘 480 湖北理工学院
19000405 任丽韵 480 荆楚理工学院
19000602 西门琰岚 479 湖北科技学院
19000101 萧明静 477 荆楚理工学院
19000813 孙昭琦 476 湖北理工学院
19000521 廖亚峰 475 湖北理工学院
19000609 史妤 474 湖北科技学院
19000424 林妹竹 473 湖北科技学院
19000607 蔡乐琴 473 湖北科技学院
19000903 范蕊爱 473 湖北科技学院
19000129 赖晴薇 471 湖北文理学院
19000104 徐影莉 469 荆楚理工学院
19000509 钱宇珊 468 湖北理工学院
19000110 熊璐 468 湖北科技学院
19000702 漕亚琬 468 荆楚理工学院
19000218 王竹亚 466 湖北理工学院
19000510 曾彩艳 466 湖北文理学院
19000826 宋亦纯 465 荆楚理工学院
19000404 杨昱 465 湖北文理学院
19000624 石凌康 461 湖北文理学院
19000528 顾信峰 459 湖北文理学院
19000122 许菲林 459 湖北文理学院
19000311 宋竹 458 湖北文理学院
19000423 丁东义 456 荆楚理工学院
19000511 宋雅洁 456 湖北文理学院
19000307 程佩中 454 湖北文理学院
19000305 邵华婷 454 荆楚理工学院
19000205 丁婉亦 449 荆楚理工学院
19000711 熊萍峰 448 荆楚理工学院
19000202 贾芳彤 445 荆楚理工学院
一批成功投档人数为：115
二批成功投档人数为：44
未成功投档学生信息及其原因：
19000003 罗佳娣 72 未过二本线
19000005 杜晓悦 287 未过二本线
19000010 尹雅雄 278 未过二本线
19000013 姜光玉 425 滑档
19000015 周林婵 293 未过二本线
19000018 尹民逸 355 滑档
19000019 赵新菁 287 未过二本线
19000022 何冰荔 357 滑档
19000023 邵龄瑞 442 滑档
19000024 侯枫薇 146 未过二本线
19000026 梁宇影 330 未过二本线
19000027 廖华纯 331 未过二本线
19000028 崔文尧 103 未过二本线
19000106 阎兰涵 236 未过二本线
19000111 吕龄哲 256 未过二本线
19000113 尹倩逸 247 未过二本线
19000114 许雪慧 282 未过二本线
19000115 侯铁珊 326 未过二本线
19000117 叶容萱 177 未过二本线
19000119 史丞桂 327 未过二本线
19000120 夏凤荣 149 未过二本线
19000121 黎峰 274 未过二本线
19000123 史平可 333 滑档
19000125 黎璧颖 95 未过二本线
19000201 蔡秋欢 313 未过二本线
19000206 孔棠昊 109 未过二本线
19000209 周洋函 263 未过二本线
19000211 龚丹思 312 未过二本线
19000213 邵渊艺 402 滑档
19000217 秦琦毅 415 滑档
19000227 薛勋 313 未过二本线
19000229 吴婉羽 276 未过二本线
19000302 崔融 307 未过二本线
19000303 邓雁 288 未过二本线
19000306 夏侯晨勋 340 滑档
19000312 邹依宜 270 未过二本线
19000314 顾淑乔 378 滑档
19000317 潘爽淇 286 未过二本线
19000321 梁光竹 315 未过二本线
19000328 武枫瑞 175 未过二本线
19000329 孙乔竹 60 未过二本线
19000330 林茹哲 105 未过二本线
19000408 程弘依 239 未过二本线
19000409 任江勋 301 未过二本线
19000413 石婵娅 84 未过二本线
19000419 唐和 280 未过二本线
19000421 毛霞飘 101 未过二本线
19000426 范函丹 125 未过二本线
19000427 卢雁雪 350 滑档
19000501 漕咏哲 333 滑档
19000502 彭清 271 未过二本线
19000504 文信蓓 230 未过二本线
19000513 姜德杰 315 未过二本线
19000517 尹锦丹 298 未过二本线
19000520 高翠 126 未过二本线
19000524 吴彤天 115 未过二本线
19000525 邵霭 265 未过二本线
19000529 郑霭妹 320 未过二本线
19000601 赖筠悦 93 未过二本线
19000605 戴淇纨 331 未过二本线
19000608 沈佑彩 142 未过二本线
19000613 黎可黛 148 未过二本线
19000614 江爽勋 271 未过二本线
19000615 萧茗艺 287 未过二本线
19000616 尹逸慧 249 未过二本线
19000617 易雅纨 106 未过二本线
19000623 廖璧林 286 未过二本线
19000625 孔嘉 69 未过二本线
19000628 朱君洁 322 未过二本线
19000629 熊霭颖 280 未过二本线
19000630 武茗 344 滑档
19000701 阎美 258 未过二本线
19000703 范娴玲 343 滑档
19000705 吕伊林 439 滑档
19000707 朱琳凌 736 滑档
19000708 任欣 319 未过二本线
19000709 徐黛君 251 未过二本线
19000712 谢渊泉 341 滑档
19000714 罗韵欢 432 滑档
19000724 龙琪丞 224 未过二本线
19000727 邱美梦 161 未过二本线
19000728 汤欢婉 284 未过二本线
19000729 傅嘉珍 108 未过二本线
19000803 张洋彤 280 未过二本线
19000804 萧渝贞 75 未过二本线
19000806 乔凌艺 309 未过二本线
19000809 侯姬英 322 未过二本线
19000810 赵德颖 321 未过二本线
19000815 孙羚 298 未过二本线
19000816 侯琼珠 132 未过二本线
19000825 徐静蓓 225 未过二本线
